split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,seam_004_xl_0643,seam,0,59,18,True,-77.37714381452909,0.9843192384774992
id,test_id,seam_004_xl_0643,seam,0,60,18,True,-77.17747264181884,0.9817792096397957
id,test_id,seam_004_xl_0643,seam,0,61,18,True,-76.89222880085072,0.9781506058107998
id,test_id,seam_004_xl_0643,seam,0,62,18,True,-76.97529499614481,0.9792072958107713
id,test_id,seam_004_xl_0643,seam,0,63,18,True,-76.71075721717042,0.9758420950252162
id,test_id,seam_004_xl_0643,seam,0,64,18,True,-77.377179593067,0.9843196936184034
id,test_id,seam_004_xl_0643,seam,0,65,18,True,-77.74701277135804,0.9890243634275107
id,test_id,seam_004_xl_0643,seam,0,66,18,True,-75.85252768954928,0.9649245062719815
id,test_id,seam_004_xl_0643,seam,0,67,18,True,-76.1963146677689,0.969297840824246
id,test_id,seam_004_xl_0643,seam,0,68,18,True,-76.77073425028678,0.9766050664228781
id,test_id,seam_004_xl_0643,seam,0,69,18,True,-77.47719334177441,0.9855919744511124
id,test_id,seam_004_xl_0643,seam,0,70,18,True,-76.84425185782509,0.9775402882713382
id,test_id,seam_004_xl_0643,seam,0,71,18,True,-74.20947270114493,0.944023106255984
id,test_id,seam_004_xl_0643,seam,0,72,18,True,-75.88469385218792,0.9653336939358357
id,test_id,seam_004_xl_0643,seam,0,73,18,True,-77.06690384896001,0.9803726574640388
id,test_id,seam_004_xl_0643,seam,0,74,18,True,-75.74266496751319,0.9635269360650637
id,test_id,seam_004_xl_0643,seam,0,75,18,True,-77.86249748003385,0.9904934512601145
id,test_id,seam_004_xl_0643,seam,0,76,18,True,-77.20299939788612,0.9821039370186346
id,test_id,seam_004_xl_0643,seam,0,77,18,True,-76.72591306887782,0.976034893514223
id,test_id,seam_004_xl_0643,seam,0,78,18,True,-76.87650375353323,0.9779505665506578
id,test_id,seam_004_xl_0643,seam,0,79,18,True,-76.7164731405255,0.9759148076254327
id,test_id,seam_004_xl_0643,seam,0,80,18,True,-76.77679236488177,0.9766821320581647
id,test_id,seam_004_xl_0643,seam,0,81,18,True,-75.42462835030736,0.9594811733834322
id,test_id,seam_004_xl_0643,seam,0,82,18,True,-77.82126875981645,0.9899689782634756
id,test_id,seam_004_xl_0643,seam,0,83,18,True,-77.31675793264705,0.9835510660904262
id,test_id,seam_004_xl_0643,seam,0,84,18,True,-75.59605791998284,0.9616619391129085
id,test_id,seam_004_xl_0643,seam,0,85,18,True,-75.20035404696404,0.9566281666608513
id,test_id,seam_004_xl_0643,seam,0,86,18,True,-77.69666210719126,0.9883838496405419
id,test_id,seam_004_xl_0643,seam,0,87,18,True,-76.4467253714264,0.9724833302463105
id,test_id,seam_004_xl_0643,seam,0,88,18,True,-73.38692468839315,0.9335594241709523
id,test_id,seam_004_xl_0643,seam,0,89,18,True,-74.4020461832113,0.9464728449497883
