case_id,label,frequency_hz,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,primal_residual_norm,tangent_residual_norm,receiver_resolvent_norm,directional_tangent_resolvent_norm,directional_error_bound
0,s36_f3,3.0,-0.018410305680906507,-0.21649006351490097,0.19807975783399445,495.0943673254166,3146.6344458964472,0.024888506213215644,2.712155153720382e-05,1056.053494628114
0,s36_f4,4.0,-0.021647151151991572,-0.11454996422886521,0.09290281307687363,608.0525698252792,4031.313402886032,0.023835105446285806,1.650428882621721e-05,1519.0278613002415
0,s43_f3,3.0,-0.010994487582188612,-0.05293438143491358,0.041939893852724966,363.70219013468466,2940.1932955721427,0.024888506213215644,2.712155153720382e-05,712.7083875992101
0,s43_f4,4.0,-0.01263337306525373,-0.1233751045377255,0.11074173147247177,586.0477854489438,4471.981155122379,0.023835105446285806,1.650428882621721e-05,1617.1578782461577
1,s36_f3,3.0,0.006520403457929211,-0.7317307760780287,0.738251179535958,584.5475207155279,2886.4492321326447,0.0199993018800238,5.8399601291631484e-05,871.5971205289461
1,s36_f4,4.0,0.014317894042133652,-0.397911627879965,0.4122295219220986,604.1420871862831,2992.1329443759855,0.01933398457736429,4.9421842079554544e-05,940.3388960394154
1,s43_f3,3.0,0.012497657409339741,-0.10543680009861192,0.11793445750795166,510.7204060744805,2914.1137419932597,0.0199993018800238,5.8399601291631484e-05,730.2364076597115
1,s43_f4,4.0,0.01628414410319807,-0.25728498256294313,0.2735691266661412,562.5085284331582,2725.112297224082,0.01933398457736429,4.9421842079554544e-05,800.3874833507704
2,s36_f3,3.0,-0.0020757582005603,-0.04007195950841412,0.03799620130785382,487.2036564520834,3307.718424704228,0.02780779948710937,5.04094944404682e-05,1391.2201168519512
2,s36_f4,4.0,-0.009306041987122295,-0.12494456847804898,0.11563852649092668,680.6082670918377,4420.828370864918,0.02998522506160912,9.867918349223356e-05,3633.386853629839
2,s43_f3,3.0,-0.0037706159099630617,-0.11485254071056641,0.11108192480060335,378.2221004824024,3164.5518139213914,0.02780779948710937,5.04094944404682e-05,1027.0509626968492
2,s43_f4,4.0,-0.030115212622876003,-0.526149326132072,0.496034113509196,679.2974524672511,4976.564200706264,0.02998522506160912,9.867918349223356e-05,4012.1775075488254
3,s36_f3,3.0,-0.03205977012901612,0.07293446689799525,0.10499423702701137,455.3352935460382,2479.840927210272,0.02658158606889211,0.0001023217486489317,1023.8900216027388
3,s36_f4,4.0,-0.4804925315522972,-0.4024739938361305,0.07801853771616674,615.5337458126023,3903.883266643018,0.028143784586530014,0.00014120265424818945,2940.228330936694
3,s43_f3,3.0,-0.023541407675583503,-0.27717350754910935,0.25363209987352586,336.5177568299462,2404.332221007934,0.02658158606889211,0.0001023217486489317,714.7342006285011
3,s43_f4,4.0,-0.42894668888636456,-0.6654031499792601,0.23645646109289553,592.3519357943352,3949.512837016339,0.028143784586530014,0.00014120265424818945,2831.06960059912
4,s36_f3,3.0,-0.08939346732769743,-0.26678877636220377,0.17739530903450634,503.82060509034795,2653.780622719114,0.022994178899317798,7.291667754692861e-05,895.8876255460914
4,s36_f4,4.0,-0.1540758539507926,-0.3469060324897021,0.1928301785389095,564.6865926413866,4187.6948827715905,0.023414930753141206,8.094095400999068e-05,1741.7153640723773
4,s43_f3,3.0,-0.03965813071144712,-0.23338107518175716,0.19372294447031002,393.6420035014214,2337.2263874906416,0.022994178899317798,7.291667754692861e-05,608.6786584122291
4,s43_f4,4.0,-0.14315205132903389,-0.28965612553131287,0.14650407420227898,566.4255846298232,3272.0369888386595,0.023414930753141206,8.094095400999068e-05,1456.8584395738137
5,s36_f3,3.0,-0.024343786189244175,-0.040432097500211525,0.01608831131096735,506.3368898122248,3196.5668857701294,0.020233309659795164,5.71959932661852e-05,792.1986925730758
5,s36_f4,4.0,-0.025708369156632348,-0.24968775687365494,0.22397938771702258,563.6581989024959,3725.0098888968714,0.018042079791822197,4.773044791576193e-05,899.9455230119572
