name,smoothing_sigma,model_scale,objective_relative_error,gradient_relative_error,gradient_cosine,certificate_error_bound_sum,realized_block_error_sum,bound_covers_all_blocks,certified_without_fallback,exact_blocks_needed,fallback_fraction
very-close,0.1,1.0005,0.0055887546070871675,0.08285363592699306,0.9974517320895692,0.05768785906700308,0.009373710745012143,True,True,0,0.0
close,0.2,1.001,0.013359117726468115,0.16671246287670569,0.9904839972744228,0.12645467621292916,0.020344523457652502,True,True,0,0.0
moderate,0.3,1.002,0.03631251568176092,0.3362712465724148,0.9671025558934683,0.29430806978871116,0.046486256020441284,True,False,1,0.25
challenging,0.4,1.003,0.07505107417552351,0.4975244175584976,0.9356873629167127,0.6533075798555803,0.07414492297024733,True,False,2,0.5
poor,0.55,1.006,0.24692912755809399,0.9847937515312825,0.8316480166144082,2.296930104572615,0.17191218837231614,True,False,3,0.75
severe,0.7,1.01,0.60792532226367,1.6619860889499911,0.719030597962581,4.653523685644466,0.31911505244759686,True,False,4,1.0
